"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Juan Soto","WSN","153","660","541","164","34","3","39","111","113","112","116","14","4",".304",".424",".592","1.016",".426","3.7","","3.70","0.05","0.69","20123"
"Mike Trout","LAA","149","655","527","150","28","4","44","112","110","111","142","8","3",".285",".417",".602","1.019",".422","6.0","","2.18","-0.48","1.12","10155"
"Freddie Freeman","ATL","152","665","566","170","38","2","32","106","108","87","115","5","2",".301",".399",".544",".943",".397","13.4","","1.84","0.58","1.20","5361"
"Ronald Acuna Jr.","ATL","150","660","565","157","30","3","39","119","95","84","177","29","8",".277",".378",".546",".924",".391","1.6","","3.77","0.13","0.92","18401"
"Christian Yelich","MIL","148","650","548","151","29","3","35","103","91","93","159","16","5",".275",".386",".530",".916",".387","10.7","","3.32","-1.44","0.40","11477"
"Bryce Harper","PHI","153","661","538","142","29","2","36","103","101","110","151","17","5",".263",".390",".528",".919",".386","17.6","","1.72","1.61","0.75","11579"
"Mookie Betts","LAD","149","669","579","168","36","4","33","122","93","79","100","23","5",".291",".378",".537",".915",".383","4.1","","3.06","0.01","0.73","13611"
"Yordan Alvarez","HOU","123","524","457","127","26","1","31","76","90","59","126","1","1",".278",".365",".544",".909",".382","79.0","","4.19","0.86","0.92","19556"
"Anthony Rendon","LAA","144","625","532","155","35","2","27","91","98","78","88","2","1",".291",".387",".517",".904",".382","38.6","","1.77","-0.10","1.05","12861"
"Fernando Tatis Jr.","SDP","146","646","571","161","29","6","37","108","100","62","167","26","8",".282",".359",".547",".906",".381","2.7","","3.71","-0.83","0.54","19709"
"Cody Bellinger","LAD","144","617","533","146","30","3","35","96","98","79","115","12","4",".275",".370",".542",".912",".380","17.6","","6.32","-0.64","0.46","15998"
"Alex Bregman","HOU","146","634","531","144","35","2","26","91","91","89","83","3","2",".272",".382",".495",".877",".375","47.3","","3.66","-0.11","0.75","17678"
"Jose Ramirez","CLE","149","644","559","154","37","3","33","98","100","73","94","25","7",".274",".361",".531",".892",".374","10.9","","2.74","0.11","0.64","13510"
