"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Mike Trout","LAA","150","671","529","148","26","3","41","116","106","122","147","12","10","3","",".279",".422",".572",".994",".408","","159","1.2","-4.1","","51.5","-1.8","7.1","","6.0","10155"
"Fernando Tatis Jr.","SDP","150","677","590","169","29","5","39","113","98","68","161","9","26","10","",".286",".365",".551",".916",".379","","137","1.2","-1.4","","34.1","6.1","6.0","","2.7","19709"
"Mookie Betts","LAD","150","685","582","162","34","2","33","116","88","86","109","6","21","6","",".278",".375",".511",".886",".370","","133","3.9","11.9","","33.5","4.4","5.8","","4.1","13611"
"Juan Soto","WSN","150","651","527","159","32","2","40","108","114","114","114","5","11","5","",".302",".427",".596","1.023",".417","","157","-0.7","-2.5","","48.6","-10.0","5.8","","3.7","20123"
"Alex Bregman","HOU","150","660","545","150","35","2","31","101","100","97","86","11","5","2","",".275",".391",".517",".909",".382","","144","-0.7","-2.7","","36.6","-0.9","5.7","","47.3","17678"
"Corey Seager","LAD","149","641","565","167","36","2","33","99","101","62","108","6","4","2","",".296",".369",".541",".910",".378","","138","0.7","-3.1","","32.8","4.4","5.6","","29.2","13624"
"Anthony Rendon","LAA","150","656","555","156","36","2","27","92","96","86","97","9","3","1","",".280",".383",".497",".880",".369","","132","0.6","3.5","","27.6","6.0","5.5","","38.6","12861"
"Cody Bellinger","LAD","150","642","546","152","28","3","40","100","114","86","118","4","14","5","",".277",".377",".559",".936",".382","","141","0.2","0.4","","34.5","0.3","5.4","","17.6","15998"
"Ronald Acuna Jr.","ATL","150","683","578","163","30","2","40","118","98","86","171","10","28","10","",".281",".381",".549",".929",".385","","137","2.4","3.3","","35.7","-3.7","5.3","","1.6","18401"
"Francisco Lindor","NYM","150","682","603","161","33","1","34","103","90","62","108","7","19","6","",".267",".340",".495",".835",".346","","118","0.2","6.2","","16.3","13.7","5.1","","18.7","12916"
"Jose Ramirez","CLE","150","653","561","152","37","2","32","98","96","78","97","7","23","8","",".271",".364",".516",".879",".366","","127","2.3","1.4","","24.7","3.9","5.0","","10.9","13510"
"Matt Chapman","OAK","150","663","578","143","33","4","34","92","97","68","165","9","2","1","",".247",".334",".495",".829",".346","","120","0.8","5.8","","18.1","8.1","4.8","","115.9","16505"
